id,question,option 1,option 2,option 3,option 4,option 5,answer,explanation,category,Question_ID,Answer_ID,context_1,context_2,context_3,context_4,context_5
question 2414,What should a 5G Visited Mobile Network have in order to allow a UE with a 5G subscription to roam into it? [3GPP Release 17],A roaming agreement with the UE's 5G Home Mobile Network,Support for establishing home network,Support for services provided in the home network,Access to a partnership network,,option 1: A roaming agreement with the UE's 5G Home Mobile Network,A 5G Visited Mobile Network should have a roaming agreement with the UE's 5G Home Mobile Network to allow the UE to roam into it.,Standards specifications,2414,1,"

The 5G system shall support a UE with a 5G subscription roaming into a 5G Visited Mobile Network which has a roaming agreement with the UE's 5G Home Mobile Network.","

The 5G system shall support a UE with a 5G subscription roaming into a 5G Visited Mobile Network which has a roaming agreement with the UE's 5G Home Mobile Network.","

	The UE shall set the 5GS update status to 5U3 ROAMING NOT ALLOWED (and shall store it according to subclause 5.1.3.2.2). For 3GPP access the UE shall enter the state 5GMM-REGISTERED.PLMN-SEARCH, and for non-3GPP access the UE shall enter the state 5GMM-REGISTERED.LIMITED-SERVICE.",7.3A.6	Procedures for UE behind the 5G-RG accessing 5GC via trusted non-3GPP access network,a)	for 5GS services over 3GPP access when the UE is registered over 3GPP access;
question 2430,What is the definition of in-channel selectivity (ICS)? [3GPP Release 18],The measure of the receiver's ability to receive a wanted signal in the presence of an interfering signal in the received SAN channel bandwidth.,The measure of the receiver's ability to receive the wanted signal at its assigned channel frequency in the presence of an adjacent channel signal.,The measure of the receiver's ability to receive the wanted signal at its assigned resource block locations in the presence of an interfering signal at a larger power spectral density.,The measure of the receiver's ability to receive a wanted signal in the presence of a spurious emission.,The measure of the receiver's ability to receive a wanted signal in the presence of an unwanted interferer out of the operating band.,option 3: The measure of the receiver's ability to receive the wanted signal at its assigned resource block locations in the presence of an interfering signal at a larger power spectral density.,The document defines in-channel selectivity (ICS) as a measure of the receiver's ability to receive the wanted signal at its assigned resource block locations in the presence of an interfering signal at a larger power spectral density.,Standards specifications,2430,3,"

In-channel selectivity (ICS) is a measure of the receiver ability to receive a wanted signal at its assigned resource block locations in the presence of an interfering signal received at a larger power spectral density. In this condition a throughput requirement shall be met for a specified reference measurement channel. ","

In-channel selectivity (ICS) is a measure of the receiver unit ability to receive a wanted signal at its assigned resource block locations in the presence of an interfering signal received at a larger power spectral density. In this condition a throughput requirement shall be met for a specified reference measurement channel. ","

In-channel selectivity (ICS) is a measure of the receiver unit ability to receive a wanted signal at its assigned resource block locations in the presence of an interfering signal received at a larger power spectral density. In this condition a throughput requirement shall be met for a specified reference measurement channel.","

In-channel selectivity (ICS) is a measure of the receiver ability to receive a wanted signal at its assigned resource block locations in the presence of an interfering signal received at a larger power spectral density. In this condition a throughput requirement shall be met for a specified reference measurement channel. The interfering signal shall be an NR signal as specified in annex A.1 and shall be time aligned with the wanted signal.","

In-channel selectivity (ICS) is a measure of the receiver ability to receive a wanted signal at its assigned resource block locations in the presence of an interfering signal received at a larger power spectral density. In this condition a throughput requirement shall be met for a specified reference measurement channel. The interfering signal shall be an NR signal as specified in annex A.1 and shall be time aligned with the wanted signal."
question 2432,What is the relative increase in free space path loss from 43.5 GHz to 48.2 GHz? [3GPP Release 18],0.33 dB,0.9 dB,3.5 dB,7.7 dB,,option 2: 0.9 dB,The relative increase in free space path loss from 43.5 GHz to 48.2 GHz is 0.9 dB.,Standards specifications,2432,2,"Based on this analysis, the relative increase in free space path loss from 43.5 GHz to 48.2 GHz is 0.9 dB.","

ACIR[dB] 12 14 16 18 20 22 24 26 28 30 Qualcomm (1) 7.32 5.28 3.78 2.81 1.84 1.42 0.99 0.68 MTK NA NA NA NA NA NA NA NA NA NA Xiaomi 10.31 7.75 5.70 4.11 2.91 2.03 1.39 0.94 Samsung (1) 37.13 31.30 25.62 20.30 15.53 11.43 8.07 5.43 3.43 1.98 Samsung (2) 0.16 0.13 0.11 0.09 0.07 0.06 0.05 0.03 0.02 0.02 Ericsson 0.00 NOTE 1:	These results were derived by adopting free-space path loss model for the links between NR UE and NR-NTN UE. NOTE 2: 	These results were derived by adopting path loss model from TR 38.901[10] for the links between NR UE and NR-NTN UE. NOTE3:	In the meeting, views are expressed on which propagation model is more appropriate for the links between NR UE and NR-NTN UE. Due to the limited time and the fact that this scenario is not the worst case to determine the NR-NTN UE ACLR, this is not discussed nor concluded.","Observation 2: UL 256QAM performance gain can not be expected for 48GHz.



5.2.2.9 	Simulation results from Ericsson",in the trace. See 3GPP TS 32.422 for further description of the values.,"3GPP Specifications Manager

	3gppContact@etsi.org

	+33 (0)492944200

O.6	urn:3gpp:audio-mixing-gain"
question 2443,What location information can be provided in the request for QoS Sustainability analytics? [3GPP Release 18],Area Of Interest in coarse granularity,Area Of Interest in fine granularity,Path of Interest in coarse granularity,Path of Interest in fine granularity,Both Area Of Interest in coarse granularity and Path of Interest in fine granularity,option 5: Both Area Of Interest in coarse granularity and Path of Interest in fine granularity,"The location information can be either an Area Of Interest in coarse granularity or Path of Interest in fine granularity, or both.",Standards specifications,2443,5,"

NOTE:	In this Release, the consumer of the ""QoS Sustainability"" Analytics ID will provide location information in the area of interest format (TAIs or Cell IDs) and also location information below cell level which are understandable by NWDAF.","

NOTE 2:	In this Release, the consumer of the ""QoS Sustainability"" Analytics ID will provide location information in the area of interest format (TAIs or Cell IDs or geographical area) which is understandable by NWDAF.","

A V2X Application Server may request notifications on QoS Sustainability Analytics for an indicated geographic area and time interval in order to adjust the application behaviour in advance with potential QoS change. The V2X Application Server may also request past statistical information for the purposes of adjustment of the application, how V2X Application Server makes use of such data is outside of 3GPP scope. Clause 6.4.1 describes the procedure for such notification from 5GS.","

To derive the QoS Sustainability analytics when the location information is an area of interest with coarse granularity (i.e. TAIs or Cell IDs):",To derive the QoS Sustainability analytics when the location information is an area of interest with coarse granularity (i.e. TAIs or Cell IDs):
question 2455,What are the supported functionality of the RN? [3GPP Release 17],"RRC, NAS, and physical layer functionality",S1 and X2 protocol termination,Serving UEs and NNSF support,Configuration and reconfiguration of RN subframe,Inter-cell handover,"option 1: RRC, NAS, and physical layer functionality","The RN supports a subset of the UE functionality, including RRC, NAS, and physical layer functionality.",Standards specifications,2455,1,117 – 3GPP-Supported-Features,9.2.3	3gpp-Accepted-Features,"

This solution aims at addressing key Issue #2 about support of Non-3GPP access for SNPN. In particular, this solution mainly focuses on how to support functionalities defined in R17 eNPN such as onboarding and remote provisioning ",9.2.2	3gpp-Required-Features,5.3.3.4	Support of a UE connected over both 3GPP and Non-3GPP access
question 2456,What is the definition of OTA occupied bandwidth? [3GPP Release 18],The measure of the difference between the actual SAN transmit frequency and the assigned frequency.,The difference between the power of an RE and the average RE power for a SAN at maximum output power.,The difference between the maximum and the minimum transmit power of an OFDM symbol for a specified reference condition.,"The width of a frequency band such that, below the lower and above the upper frequency limits, the mean powers emitted are each equal to a specified percentage of the total mean transmitted power.",The ratio of the filtered mean power centered on the assigned channel frequency to the filtered mean power centered on an adjacent channel frequency.,"option 4: The width of a frequency band such that, below the lower and above the upper frequency limits, the mean powers emitted are each equal to a specified percentage of the total mean transmitted power.","The OTA occupied bandwidth is the width of a frequency band such that, below the lower and above the upper frequency limits, the mean powers emitted are each equal to a specified percentage of the total mean transmitted power.",Standards specifications,2456,4,"There is in addition a requirement for occupied bandwidth.

6.7.2	OTA occupied bandwidth

6.7.2.1	Definition and applicability","6.7.2	OTA occupied bandwidth	106

6.7.2.1	Definition and applicability	106

6.7.2.2	Minimum requirement	106","6.7	OTA Unwanted Emissions	127

6.7.1	General	127

6.7.2	OTA occupied bandwidth	127

6.7.2.1	Definition and applicability	127","There is in addition a requirement for OTA occupied bandwidth.

6.7.2	OTA occupied bandwidth","9.7.2	OTA occupied bandwidth	126

9.7.2.1	General	126

9.7.2.2	Minimum requirement	126

9.7.2.3	Test purpose	127"
question 2461,What is considered for evaluation purpose in the energy consumption modeling for a BS? [3GPP Release 18],Multiple power state(s),Reference configuration,Scaling method,All of the above,,option 4: All of the above,"The energy consumption modeling for a BS for evaluation purpose includes reference configuration, multiple power state(s), and scaling method.",Standards specifications,2461,4,"For evaluation purpose, the energy consumption modeling for a BS for evaluation includes:

Reference configuration","[18]           3GPP R1-2212154: ""Evaluations for network energy savings techniques"".","[15]           3GPP R1-2211903: ""Evaluation results of NW energy saving techniques"".","[17]           3GPP R1-2212128: ""NW energy savings performance evaluation"".","[16]           3GPP R1-2211994: ""Discussion on NW energy saving performance evaluation""."
question 2467,What is the purpose of the Signalling gateway function? [3GPP Release 17],To interconnect different signalling networks,To provide voice and other CS-domain services,To support charging and billing mechanisms,To facilitate communications with packet data networks and applications,To enable Proximity-based Services,option 1: To interconnect different signalling networks,The Signalling gateway function is used to interconnect different signalling networks.,Standards specifications,2467,1,Editor's note:	It is FFS whether the gateway MC server can act as a signalling proxy as defined in 3GPP TS 33.180 [25].,Editor's note:	It is FFS whether the gateway MC server can act as a signalling proxy as defined in 3GPP TS 33.180 [25].,Editor's note:	It is FFS whether the gateway MC server can act as a signalling proxy as defined in 3GPP TS 33.180 [14],Signalling flows for the notification of application detection information are presented in 3GPP TS 29.513 [7].,"Signalling flows for resource allocation outcome are presented in 3GPP TS 29.513 [7].

4.2.5.9	Void"
question 2471,What is the purpose of the extended work item on 8K Television over 5G? [3GPP Release 17],To define HEVC-based 8K TV operation point and media decoding capabilities,To improve the distribution of 8K TV content with 5G,To support higher decoding capabilities in TV and mobile device,To specify ISO BMFF encapsulation and DASH signalling for 8K TV,To conduct trials and produce content in 8K,option 1: To define HEVC-based 8K TV operation point and media decoding capabilities,The work item specifies an HEVC-based 8K TV operation point in TS 26.116 and the corresponding media decoding capabilities for 5GMS in TS 26.511.,Standards overview,2471,1,"[1] Tdoc SP-190464, “3GPP™ Work Item Description - 5G Media Streaming stage 3 (5GMS3)”","[30]	3GPP TR 26.928: ""Extended Reality over 5G"".","[15]	3GPP TS 26.928: "" Extended Reality (XR) in 5G"".","

It is proposed to use the concept of 5G-media service enablers to define relevant specifications for AR and possibly other applications. A common set of properties and functionalities for Media Service Enabler specifications is needed and hence it is proposed to provide a 3GPP internal report that:  ","[46]	3GPP TS 26.803: ""5G Media Streaming (5GMS); Architecture extensions""."
question 2474,"In supporting an MA PDU Session, what does Rel-17 enable in terms of 3GPP access over EPC? [3GPP Release 17]",Direct connection of 3GPP access to 5GC,Establishment of user-plane resources over EPC,Use of NG-RAN access for all user-plane traffic,Exclusive use of a non-3GPP access for user-plane traffic,,option 2: Establishment of user-plane resources over EPC,"Rel-17 enables the establishment of user-plane resources over EPC for 3GPP access in supporting an MA PDU Session, allowing for simultaneous traffic over EPC and non-3GPP access.",Standards overview,2474,2,"

A Multi Access (MA) PDU Session established over the 5G core (5GC) network typically has user-plane resources over a 3GPP access connected to 5GC and user-plane resources over a non-3GPP access connected to 5GC. In Rel-17, however, the user-plane resources over 3GPP access may be established in EPC (through a PDC Connection). In other words, instead of using a 3GPP access connected to 5GC, a 3GPP access (e.g., E-UTRAN) connected to EPC may be used by the MA PDU Session. This enables a scenario where a MA PDU Session can simultaneously send traffic over a 3GPP access connected to EPC and over a non-3GPP access connected to 5GC. More details can be found in [2], clause 4.22.2.3.",Supporting an MA PDU Session with a 3GPP access leg over EPC:,,,
question 2477,What is the purpose of the NG-C interface in the NG-RAN architecture? [3GPP Release 18],Transport of user plane data towards the UPF,Transport of control plane information towards the AMF,Transport of NAS messages,Configuration transfer,UE mobility management,option 2: Transport of control plane information towards the AMF,The NG-C interface is defined between the NG-RAN node and the AMF and provides functions such as transport of control plane information towards the AMF.,Standards specifications,2477,2,8.2	NG-RAN F1 interface: signalling transport (3GPP TS 38.472),8.4	NG-RAN F1 interface: data transport and transport signalling (3GPP TS 38.474),8.2	NG-RAN F1 interface: signalling transport (3GPP TS 38.472)	20,8.4	NG-RAN F1 interface: data transport and transport signalling (3GPP TS 38.474)	20,8.4	NG-RAN F1 interface: data transport and transport signalling (3GPP TS 38.474)	20
question 2480,What are the system properties required for 5G systems to be suitable for automation in vertical domains? [3GPP Release 19],"Reliability, availability, and maintainability","Flexibility, safety, and integrity","Dependability, reliability, and maintainability","Availability, safety, and integrity","Reliability, availability, maintainability, safety, and integrity","option 5: Reliability, availability, maintainability, safety, and integrity","To be suitable for automation in vertical domains, 5G systems need to come with system properties of reliability, availability, maintainability, safety, and integrity.",Standards specifications,2480,5,"

In order to be suitable for automation in vertical domains, 5G systems need to be dependable and flexible to meet specific KPIs to serve specific applications and use cases. They need to come with the system properties of reliability, availability, maintainability, safety, and integrity. What particular requirements each property needs to meet depends on the particularities of the domain and the use case. Annex F discusses the difference between reliability and communication service availability. The requirements in this document provide various sets of performance criteria that need to be met to satisfactorily support different use cases of cyber-physical control applications used by various vertical markets.","[5]	3GPP TS 22.104, Service requirements for cyber-physical control applications in vertical domains","[5]	3GPP TS 22.104: ""Service requirements for cyber-physical control applications in vertical domains"".","[65]	3GPP TS 22.104: ""Service requirements for cyber-physical control applications in vertical domains"".","[21]	3GPP TS 22.104: ""Service requirements for cyber-physical control applications in vertical domains"""
question 2483,What is the format of the UE Radio Capability ID? [3GPP Release 16],It includes a Vendor ID,It includes a Version ID,It includes both Vendor ID and Version ID,It does not include any IDs,,option 3: It includes both Vendor ID and Version ID,The UE Radio Capability ID format includes both a Vendor ID and a Version ID.,Standards overview,2483,3,8.2.7.32	UE radio capability ID,8.2.21.4	UE radio capability ID,8.2.6.27	UE radio capability ID,8.2.26.25	UE radio capability ID,5.9.10	UE Radio Capability ID
question 2487,Which feature in Rel-16 allows transmission of uplink data payload using preconfigured uplink resources? [3GPP Release 16],UE-group wake-up signals (GWUS),Mobile-terminated early data transmission (MT-EDT),Support for Preconfigured uplink resources (PUR) in idle mode,Scheduling of multiple DL/UL transport blocks with single DCI,Presence of NRS on a non-anchor carrier for paging,option 3: Support for Preconfigured uplink resources (PUR) in idle mode,The feature Support for Preconfigured uplink resources (PUR) in idle mode allows transmission of uplink data payload using preconfigured uplink resources.,Standards overview,2487,3,"

In Rel-16, the earlier transmission of UL data payload has been further enhanced by introducing UL transmission using preconfigured uplink resources (PUR). When the feature is configured, both the random-access preamble transmission (Msg1) and the random-access response (Msg2) can be omitted, and the data transmission can be completed in only two messages (i.e., Msg3 and Msg4).","

In Rel-16, the earlier transmission of UL data payload has been further enhanced by introducing UL transmission using preconfigured uplink resources (PUR). This feature allows eNB to configure uplink resources, in which a UE in IDLE mode can send UL transmission without performing random access procedures. The UE can be potentially configured with a cyclic shift of DMRS, which allows sharing of the preconfigured resources under which up to two users can transmit NPUSCH simultaneously when the NPUSCH transmission is larger than or equal to 64ms for 12-tone allocation. By skipping the random access procedures, the uplink transmission efficiency can be improved and UE power consumption is reduced. Before performing a PUR transmission, the UE must evaluate the validity of the timing advance (TA) based on either individual or combined usage of any of the following attributes: a) serving cell change, b) TA timer, c) RSRP change. Additionally, it is possible to configure the TA as always valid within a given cell.","NR	New Radio (the radio interface of 5G)

Rel	3GPP Release



UL	Uplink (mobile to network)

4	Rel-16 Executive Summary",Preconfigured uplink resources (PUR),
question 2488,What is the purpose of contention window adjustment procedures for UL transmissions? [3GPP Release 17],To increase the contention window size for a specific priority class,To increase the contention window size for all priority classes,To decrease the contention window size for all priority classes,To adjust the contention window size for a specific priority class,To adjust the contention window size for all priority classes,option 5: To adjust the contention window size for all priority classes,The purpose of contention window adjustment procedures for UL transmissions is to adjust the contention window size for all priority classes.,Standards specifications,2488,5,4.2.2.2	Contention window adjustment procedures for UL transmissions scheduled/configured by gNB,4.2.2.1	Contention window adjustment procedures for UL transmissions scheduled/configured by eNB,4.2.2.1	Contention window adjustment procedures for UL transmissions scheduled/configured by eNB	22,4.2.2.1	Contention window adjustment procedures for UL transmissions scheduled/configured by eNB	22,4.2.2.2	Contention window adjustment procedures for UL transmissions scheduled/configured by gNB	24
question 2491,What is the release condition for SIPTO@LN PDN connection after handover with a stand-alone gateway? [3GPP Release 17],The eNB triggers the release over the S5 interface,The MME sends a release command to the eNB,The collocated S-GW releases the connection,The UE initiates the release procedure,The SIPTO@LN PDN connection is not released after handover,option 5: The SIPTO@LN PDN connection is not released after handover,"In case of a handover with a stand-alone gateway, the SIPTO@LN PDN connection is not released after handover unless the source and target eNBs are in the same LHN (i.e. they have the same LHN ID).",Standards specifications,2491,5,"

SIPTO@LN is supported using a stand-alone gateway (with co-located S-GW and L-GW) deployed in the local network. The MME may decide to trigger S-GW relocation without UE mobility, as specified in TS 23.401 [17]. Mobility for the SIPTO@LN PDN connection is not supported in this release: the SIPTO@LN PDN connection shall be released after handover, unless the source and target eNBs are in the same LHN (i.e. they have the same LHN ID), as specified in TS 23.401 [17].","

The mobility of the SIPTO@LN PDN connection is not supported in this release of the specification. The SIPTO@LN PDN connection is released after a handover is performed, and the collocated L-GW in the source eNB triggers the release over the S5 interface, as described in TS 23.401 [17].","

triggering SIPTO@LN PDN connection release by the collocated L-GW after a handover is performed, as specified in TS 23.401 [17].",4.8.3	Support for SIPTO@LN with Stand-Alone Gateway,"4.8.3	Support for SIPTO@LN with Stand-Alone Gateway	56

4.9	Support for Dual Connectivity	56

4.9.1	General	56"
question 2493,What is EC-GSM-IoT? [3GPP Release 14],An extended version of EGPRS,A new radio interface for Cellular IoT,A low-power version of GPRS/EGPRS,An enhanced version of GPRS,,option 1: An extended version of EGPRS,"EC-GSM-IoT is an evolution of EGPRS, providing a streamlined protocol implementation with extended coverage and energy efficient operation.",Standards overview,2493,1,"EC-GSM-IoT is an evolution of EGPRS as to provide a streamlined protocol implementation, reducing the MS complexity while supporting energy efficient operation with extended coverage compared to GPRS/EGPRS.","

Release 14 39 3GPP TR 21.914 V14.0.0 (2018-05) 730077 Radio Interface Enhancements for Extended CIoT_EC_GSM_radio_enh 1 R6 RP-161806 Coverage GSM for support of Cellular Internet of Things 730177 Core part: Radio Interface Enhancements for CIoT_EC_GSM_radio_enh- 2 R6 RP-161806 Extended Coverage GSM for support of Core Cellular Internet of Things 730277 Perf. part: Radio Interface Enhancements for CIoT_EC_GSM_radio_enh- 2 R6 RP-161806 Extended Coverage GSM for support of Perf Cellular Internet of Things",,,
question 2494,What does the term 'user perception' refer to in the context of downlink parallel transfer of the same content via broadcast/multicast and/or unicast? [3GPP Release 17],User satisfaction with the delivered content.,The difference in delay of typically less than 20 ms between receivers in a given area.,The quality level (i.e. video resolution) of broadcast/multicast content.,The capability of the UE to receive content via a broadcast/multicast radio carrier.,The availability of the broadcast/multicast service.,option 2: The difference in delay of typically less than 20 ms between receivers in a given area.,'User perception' refers to the difference in delay of typically less than 20 ms between receivers in a given area when receiving the same content via broadcast/multicast and/or unicast.,Standards specifications,2494,2,"[1]	3GPP TS 26.502: “5G multicast-broadcast services, User Service architecture”.","[9]	3GPP TS 26.517: “5G Multicast-Broadcast User Services; Protocols and Formats”.

6.3.4.6	Other media and broadcast aspects",,,
question 2507,What does the UE do if it receives an RRC message on DCCH or CCCH that does not include a mandatory field? [3GPP Release 17],Ignore the message,Treat the list as if the entry including the missing or not comprehended field was absent,Consider the 'parent' field to be set to a not comprehended value,Apply the generic error handling to the subsequent 'parent' field(s),,option 1: Ignore the message,The behavior of the UE when receiving an RRC message on DCCH or CCCH that does not include a mandatory field is unspecified.,Standards specifications,2507,1,"

NOTE 3:	UE behaviour on receipt of an RRC message on DCCH or CCCH or a PC5 RRC message on SCCH that does not include a field that is mandatory (e.g. because conditions for mandatory presence are fulfilled) is unspecified.","

""Otherwise, the field is absent, Need M"": The UE retains the field if it was already configured when this part of the condition applies. This means the network when transmitting downlink RRC message or the peer UE when transmitting PC5 RRC message cannot release the field, but UE retains the previously configured value.","10.5	Not comprehended field

The UE shall, when receiving an RRC message on any logical channel:","SRB3 is for specific RRC messages when UE is in (NG)EN-DC or NR-DC, all using DCCH logical channel;",11.2.3	Mandatory information in inter-node RRC messages
question 2508,How does a UE determine the number of PSFCH resources available for multiplexing control information? [3GPP Release 17],Based on sl-PSFCH-Occasion,Based on sl-PSFCH-Period,Based on sl-PSFCH-CandidateResourceType,Based on sl-NumMuxCS-Pair,,option 4: Based on sl-NumMuxCS-Pair,A UE determines the number of PSFCH resources available for multiplexing control information based on sl-NumMuxCS-Pair.,Standards specifications,2508,4,"

For operation without shared spectrum channel access, a UE determines a number of PSFCH resources available for multiplexing HARQ-ACK or conflict information in a PSFCH transmission as  where  is a number of cyclic shift pairs for the resource pool provided by sl-NumMuxCS-Pair and, based on an indication by sl-PSFCH-CandidateResourceType,","

For operation with shared spectrum channel access and for the -th candidate PSFCH transmission occasion, a UE determines a number of PSFCH resources available for multiplexing HARQ-ACK or conflict information in a PSFCH transmission as  where  is a number of cyclic shift pairs for the resource pool provided by sl-NumMuxCS-Pair and, based on an indication by sl-PSFCH-CandidateResourceType",16.3.0	UE procedure for transmitting PSFCH with control information,16.3.0	UE procedure for transmitting PSFCH with control information,16.3.0	UE procedure for transmitting PSFCH with control information	257
question 2509,What is the purpose of the MARCOM feature? [3GPP Release 16],To correct inconsistencies and clarify ambiguities,To enhance the performance of LTE in high-speed scenarios,To specify UE RRM requirements and demodulation requirements for high-speed train scenarios,To enable maritime communication services to be supported over 3GPP systems,To support the specific communication needs of railways,option 4: To enable maritime communication services to be supported over 3GPP systems,The MARCOM feature introduces service requirements to enable maritime communication services to be supported over 3GPP systems.,Standards overview,2509,4,"

The MARCOM feature introduces service requirements to enable maritime communication services to be supported over 3GPP system in TS 22.119 [1]. With the MARCOM feature, the work on maritime communication services is officially included in the scope of 3GPP standardization so 3GPP enabling technologies can be applicable to for maritime usage from 3GPP Release 16 onwards.",,,,
question 2510,What is the average cable loss per meter at 48.2 GHz? [3GPP Release 18],0.33 dB,0.725 m,6 dB,43.5 GHz,,option 1: 0.33 dB,The average cable loss per meter at 48.2 GHz is 0.33 dB.,Standards specifications,2510,1,Figure 7.2.3-2: Cable loss per meter vs. frequency,"[48]	3GPP TS 38.314: ""NR; Layer 2 Measurements"".",in the trace. See 3GPP TS 32.422 for further description of the values.,"[24]	3GPP TS 38.215: ""NR; Physical layer measurements"".",5.2.2.12	Summary for 48GHz simulation results
question 2518,What is required for SRS bandwidth aggregation from RRM perspective? [3GPP Release 18],Different numerology for different carriers to be aggregated.,Same slot and symbol for SRS resources from different carriers to be aggregated.,Different TRP for SRS resources from different carriers to be aggregated.,Different Antenna Reference Point (ARP) for SRS resources from different carriers to be aggregated.,Different bandwidths for SRS resources from different carriers to be aggregated.,option 2: Same slot and symbol for SRS resources from different carriers to be aggregated.,"From RRM perspective, SRS resources to be aggregated from different carriers should be transmitted in the same slot and in the same symbols.",Standards specifications,2518,2,"From RRM perspective, the following are assumed for SRS bandwidth aggregation:",6.2.3	Potential specification impact for PRS/SRS bandwidth aggregation,"

Positioning SRS Bandwidth Aggregation: Transmission of positioning SRS on multiple carriers in RRC_CONNECTED and RRC_INACTIVE where the positioning SRS resources are linked in RRC configuration as defined in TS 38.331 [5].",6.2.2	Summary of evaluations for PRS/SRS bandwidth aggregation,"6.2.1	Potential solutions based on PRS / SRS bandwidth aggregation

6.2.1.1	RF aspects"
question 2523,What is the purpose of N19-based traffic forwarding? [3GPP Release 18],To forward UL/DL traffic for 5G VN communication,"To handle unicast, broadcast, and multicast communication",To serve as a common PSA UPF for different PDU Sessions,To realize traffic routing for multiple SMF Sets,To establish user plane tunnels between different SMFs,option 1: To forward UL/DL traffic for 5G VN communication,N19-based traffic forwarding is used to forward the UL/DL traffic for the communication of a 5G VN group between PSA UPFs of different PDU Sessions.,Standards specifications,2523,1,For PIN indirect communication N19-based traffic forwarding is not used i.e. the PIN traffic is forwarded using:,"[10]	3GPP TS 23.161: ""Network-Based IP Flow Mobility (NBIFOM); Stage 2"".","6.43	Solution 43 (KI#6): Network-based solution for keeping EC traffic on 3GPP Access

6.43.1	Description","8.3.5	User Plane for N19-based forwarding of a 5G VN group

Figure 8.3.5-1: User Plane for N19-based forwarding",Figure 6.43.2.1-1: Network-based solution for keeping EC traffic on 3GPP Access
question 2533,What can the NW configure for NES-capable UEs? [3GPP Release 18],Priority of other UEs,Down-prioritization of other UEs,Specific NES cell(s) prioritization/down-prioritization on a specific frequency,Both option 1 and option 2,,option 3: Specific NES cell(s) prioritization/down-prioritization on a specific frequency,The NW can configure NES-capable UEs to prioritize/down-prioritize specific NES cell(s) on a specific frequency.,Standards specifications,2533,3,"4.9.1	General	128

4.9.2	Disabling and re-enabling of UE's N1 mode capability for 3GPP access	128",4.9.2	Disabling and re-enabling of UE's N1 mode capability for 3GPP access,4.9.3	Disabling and re-enabling of UE's N1 mode capability for non-3GPP access,4.9.3	Disabling and re-enabling of UE's N1 mode capability for non-3GPP access	132,9.3	Requirements for 3GPP system supporting ePWS-UEs
question 2537,What is the polarization of a single polarized antenna? [3GPP Release 17],Horizontal polarization,Vertical polarization,Circular polarization,Dual polarization,,option 2: Vertical polarization,The document mentions that a single polarized antenna is purely vertically polarized.,Standards specifications,2537,2,"

Since the reference antenna is considered a single-polarized antenna, the XPD effect is negligible. Since the measurement probe is assumed to be a dual-linearly polarized antenna, leakage from one terminal/polarization to the other, i.e., XPD, needs to be considered.",8.4.2	Applicability of Single link polarization measurement,"

By comparing the same pair of antenna ports but with co-polarization and cross-polarization, it is hard to have a simple observation for which one is higher, but different observations depend on the designated antenna pair. The results could be explainable by the +45degree and -45degree placement for two polarizations. Within a panel, the co-pol and cross-pol can be guaranteed, while 3-sector case may make the alignment disappear. ",8.4	Single link polarization measurement,"For 3 antenna elements with the same polarization in one direction,

	."
question 2561,"In Rel-17, enhancements are made to several SEAL services. Which of the following is NOT an enhancement to SEAL services in Rel-17? [3GPP Release 17]",Support for external group Id and group fetch procedure,Support for management of 5G VN groups,Support for temporary groups in a VAL system,Support for enhanced Service Enabler Architecture Layer (SEAL),Support for location criteria in group creation,option 4: Support for enhanced Service Enabler Architecture Layer (SEAL),"The question is asking for the enhancement that is NOT made to SEAL services in Rel-17. Option 4, Support for enhanced Service Enabler Architecture Layer (SEAL), is incorrect because SEAL itself was already specified in Rel-16. The other options, options 1-3 and 5, are the enhancements made to SEAL services in Rel-17.",Standards overview,2561,4,"In Rel-17, enhancements are made to several SEAL services, namely:",,,,
question 2562,Which interface provides non-guaranteed delivery of user plane PDUs between the NG-RAN node and the UPF? [3GPP Release 18],NG-C interface,Xn-C interface,NG-U interface,Xn-U interface,NGAP interface,option 3: NG-U interface,The NG-U interface provides non-guaranteed delivery of user plane PDUs between the NG-RAN node and the UPF.,Standards specifications,2562,3,NG-U provides non-guaranteed delivery of user plane PDUs between the NG-RAN node and the UPF.,"G-PDUs over the N3mb and N19mb user plane interfaces, between the MB-UPF and NG-RAN, or between the MB-UPF and UPF;  and","G-PDUs over the N3 and N9 user plane interfaces, between NG-RAN and UPF, or between two UPFs;","[24]	3GPP TS 38.415: ""NG-RAN; PDU Session User Plane Protocol"".","[14]	3GPP TS 38.415: ""NG-RAN; PDU session user plane protocol""."
question 2581,Which protocol sublayer is responsible for maintaining the PDCP sequence numbers? [3GPP Release 18],MAC sublayer,RLC sublayer,PDCP sublayer,SDAP sublayer,,option 3: PDCP sublayer,The PDCP sublayer is responsible for maintaining the PDCP sequence numbers.,Standards specifications,2581,3,"[16]	3GPP TS 38.323: ""NR; Packet Data Convergence Protocol (PDCP) specification"".","[16]	3GPP TS 38.323: ""NR; Packet Data Convergence Protocol (PDCP) specification"".","[16]	3GPP TS 38.323: ""NR; Packet Data Convergence Protocol (PDCP) specification"".","[37]	3GPP TS 36.323: ""Packet Data Convergence Protocol (PDCP) specification"".","[37]	3GPP TS 36.323: ""Packet Data Convergence Protocol (PDCP) specification""."
