id,question,option 1,option 2,option 3,option 4,option 5,answer,explanation,category,Question_ID,Answer_ID,context_1
question 646,What enhancements were introduced in Release-14 for LTE-WLAN Aggregation (LWA)? [3GPP Release 14],UL aggregation on LTE and WLAN,Support for 60GHz 802.11 band,Neighbour eNB reporting for ANR and WLAN suspend/resume,All of the above,None of the above,option 4: All of the above,"In Rel-14, the following LTE-WLAN Aggregation (LWA) enhancements were introduced: UL aggregation on LTE and WLAN, mobility enhancements (handover without WT change), 60GHz band support, neighbour eNB reporting for ANR and WLAN suspend/resume.",Standards specifications,646,4,"3GPP

Release 14	66	3GPP TR 21.914 V14.0.0 (2018-05)

In Rel-14, the following LTE-WLAN Aggregation (LWA) enhancements have been introduced: UL aggregation on LTE and WLAN, mobility enhancements (handover without WT change), 60GHz band support, neighbour eNB reporting for ANR and WLAN suspend/resume.

Release-14 Enhanced LWA builds on top of the baseline Release-13 functionality, adding the following enhancements:

Uplink transmission on WLAN, including uplink aggregation

Mobility enhancements, specifically support for handover without WT change

Support for 60GHz 802.11 band

Automatic Neighbour Relation (ANR)

WLAN suspend/resume"
question 647,What is the purpose of cross-network slice coordination? [3GPP Release 17],To coordinate network slices in multiple 5G networks,To prevent unauthorized access to network slices,To optimize resource utilization in a network,All of the above,None of the above,option 1: To coordinate network slices in multiple 5G networks,"Cross-network slice coordination enables the coordination of network slices in multiple 5G networks, allowing communication services to be extended through different networks.",Standards specifications,647,1,"As described in TS 28.530, network slicing is a paradigm where logical networks/partitions are created, with appropriate isolation, resources and optimized topology to serve a purpose or service category (e.g. use case/traffic category, or for MNO-internal reasons) or customers (logical system created ""on demand""). Media services can be delivered to end users using such different network slices. As documented in clause 5.12 of the present document, aspects related to network slicing are not adequately addressed in TS 26.501 and 26.512. The following are the conclusions so far in the study:

1.	The collaboration scenarios, deployment architectures, and potential open issues concerning network slicing extensions are to be studied further in Release 18.

2.	The impact of network slicing is across multiple work items. Therefore, study for network slicing extensions is to be looked at from the perspective of multiple work items.

6.13	3GPP Service Handler and URLs"
question 648,What does the Rel. 16 feature of Subscription information allow? [3GPP Release 16],Indication of existing identifiers relating to a 3GPP subscription or UE,Selection of an AMF that supports the required Network Slices,Authentication and authorization of User Identity for a network slice,Indication of which S-NSSAIs are subject to Network Slice-Specific Authentication and Authorization,Creation and management of User Identities,option 4: Indication of which S-NSSAIs are subject to Network Slice-Specific Authentication and Authorization,The Rel. 16 feature allows Subscription information to indicate which S-NSSAIs are subject to Network Slice-Specific Authentication and Authorization.,Standards overview,648,4,"When the RLS receives a SUBSCRIBE request for the presence information event package of a presentity collection, the RLS shall first verify the identity of the source of the SUBSCRIBE request as described in 3GPP TS 24.229 [9] subclause 5.7.1.4, then perform authorization according to 3GPP TS 24.229 [9] subclause 5.7.1.5. In case of successful subscription, the RLS shall generate a response to the SUBSCRIBE request and notifications in accordance with RFC 6665 [19] and RFC 4662 [22] by adding a Require header field with value ""eventlist""."
question 649,"What is the purpose of control plane load control, congestion and overload control in the 5G System? [3GPP Release 18]",To provide connectivity and necessary services to the UE,To ensure that the UE is always connected to the 5G-AN,To balance the load between AMFs in the same AMF set,To prioritize emergency services over regular services,,option 1: To provide connectivity and necessary services to the UE,"Control plane load control, congestion, and overload control in the 5G system ensure that the network functions within nominal capacity to provide connectivity and necessary services to the UE.",Standards specifications,649,1,"5.19	Control Plane Load Control, Congestion and Overload Control

5.19.1	General

In order to ensure that the network functions within 5G System are operating under nominal capacity for providing connectivity and necessary services to the UE. Thus, it supports various measures to guard itself under various operating conditions (e.g. peak operating hour, extreme situations). It includes support for load (re-)balancing, overload control and NAS level congestion control. A 5GC NF is considered to be in overload when it is operating over its nominal capacity resulting in diminished performance (including impacts to handling of incoming and outgoing traffic).

5.19.2	TNLA Load Balancing and TNLA Load Re-Balancing

AMF can support load balancing and re-balancing of TNL associations between 5G-AN and AMF by using mechanisms specified in clause 5.21.1.

5.19.3	AMF Load Balancing"
question 652,When is the authorization for connectivity and services evaluated? [3GPP Release 18],During network selection,During identification and authentication,During access control and barring,During UE Registration,During lawful interception,option 4: During UE Registration,The authorization for connectivity and services is evaluated during the UE Registration procedure.,Standards specifications,652,4,"NOTE 1:	The authentication protocol for UUAA is out of scope of 3GPP in this release of specification.

The service-level authentication and authorization procedure can be performed only during or after the UE-requested PDU session procedure establishing a non-emergency PDU session. The service-level authentication and authorization procedure shall not be performed during or after the UE-requested PDU session establishment procedure establishing an emergency PDU session.

If the service-level authentication and authorization procedure is performed during the UE-requested PDU session establishment procedure:

a)	and the service-level-AA procedure of the UE completes successfully, the service-level-AA response is transported from the network to the UE as a part of the UE-requested PDU session establishment procedure in the PDU SESSION ESTABLISHMENT ACCEPT message; or"
question 654,How is the LMF connected to the NG-RAN node in the positioning architecture? [3GPP Release 16],Through the PCF,Through the 5GC,Directly,Through the SMF,Through the AMF,option 5: Through the AMF,"In the positioning architecture, the LMF is connected to the NG-RAN node through the AMF.",Standards overview,654,5,"[5] TS 38.305 “Stage 2 functional specification of UE positioning in NG-RAN” 

[6] TS 37.355 “LTE Positioning Protocol (LPP)” 

[7] TS 38.455 “NR Positioning Protocol A (NRPPa)” 

[8] TS 38.331 “UE radio transmission and reception” 

14.2	Enhancement to the 5GC LoCation Services"
question 658,What is the purpose of the SCEF+NEF node in the non-roaming architecture for Service Exposure? [3GPP Release 18],To provide southbound interfaces between SCEF and EPC nodes,To associate the UE with an SCEF+NEF node for Service Capability Exposure,To support monitoring APIs between SCEF and NEF,To discover the north-bound APIs supported by EPC or 5GC network,,option 2: To associate the UE with an SCEF+NEF node for Service Capability Exposure,The purpose of the SCEF+NEF node in the non-roaming architecture for Service Exposure is to associate the UE with an SCEF+NEF node for Service Capability Exposure.,Standards specifications,658,2,"Figure 4.2.3-4: Applying Non-Roaming 5G System Architecture for concurrent access to two (e.g. local and central) data networks (single PDU Session option) in reference point representation

Figure 4.2.3-5 depicts the non-roaming architecture for Network Exposure Function, using reference point representation.

Figure 4.2.3-5: Non-Roaming Architecture for Network Exposure Function in reference point representation

NOTE 1:	In Figure 4.2.3-5, Trust domain for NEF is same as Trust domain for SCEF as defined in TS 23.682 [36].



NOTE 2:	In Figure 4.2.3-5, 3GPP Interface represents southbound interfaces between NEF and 5GC Network Functions e.g. N29 interface between NEF and SMF, N30 interface between NEF and PCF, etc. All southbound interfaces from NEF are not shown for the sake of simplicity.

4.2.4	Roaming reference architectures

Figure 4.2.4-1 depicts the 5G System roaming architecture with local breakout with service-based interfaces within the Control Plane."
question 669,What does a RedCap UE expect if it monitors PDCCH according to Type1-PDCCH CSS set and does not monitor PDCCH according to Type2-PDCCH CSS set? [3GPP Release 17],The initial DL BWP to include SS/PBCH blocks and the CORESET with index 0,The initial DL BWP to exclude SS/PBCH blocks and the CORESET with index 0,The active DL BWP to include SS/PBCH blocks and the CORESET with index 0,The active DL BWP to exclude SS/PBCH blocks and the CORESET with index 0,No expectation regarding the inclusion or exclusion of SS/PBCH blocks and the CORESET with index 0,option 2: The initial DL BWP to exclude SS/PBCH blocks and the CORESET with index 0,"For a RedCap UE that monitors PDCCH according to Type1-PDCCH CSS set and does not monitor PDCCH according to Type2-PDCCH CSS set, the UE does not expect the initial DL BWP to include SS/PBCH blocks and the CORESET with index 0.",Standards specifications,669,2,"If a UE is not provided pagingSearchSpace for Type2-PDCCH CSS set, the UE does not monitor PDCCH for Type2-PDCCH CSS set on the DL BWP. The CCE aggregation levels and the number of PDCCH candidates per CCE aggregation level for Type2-PDCCH CSS set are given in Table 10.1-1."
question 671,What key information is used by the Terminating Access Domain Selection (T-ADS) mechanism? [3GPP Release 14],UE's current access network,UE's IMS registration status,UE's WLAN AP association status,UE's time stamps of most recent IMS registration or re-registration and radio contact with the access network,UE's WLAN encryption keys,option 4: UE's time stamps of most recent IMS registration or re-registration and radio contact with the access network,"The key information used by the T-ADS mechanism is the time stamp at which the UE attached to a given access network. More precisely, this Work Item introduces two time stamp values: the one of the most recent IMS registration or re-registration via WLAN, and the one of the 3GPP access network that had the most recent radio contact with the UE.",Standards specifications,671,4,"This Work Item enhances the Terminating Access Domain Selection (T-ADS) mechanism as to support IMS voice over WLAN. Indeed, the pre-Rel-14 T-ADS does not take into account IMS voice over WLAN, which may lead to a wrong decision of call when the UE moves between WLAN and UTRAN/GERAN.

The T-ADS mechanism contains two aspects: the definition of the information considered for the domain determination, and the way for the SCC AS to determine the terminating domain, based on this information.

The key information used by the T-ADS mechanism is the time stamp at which the UE attached to a given access network. More precisely, this Work Item introduces (in the Insert-Subscriber-Data-Answer (IDA) command) two time stanp values: the one of the most recent IMS registration or re-registration via WLAN, and the one of the 3GPP access network that had the most recent radio contact with the UE. These two time stamps are then taken into account by the SCC AS to determine the access domain."
question 674,Which channels are used for the performance requirements in Narrowband IoT? [3GPP Release 18],NPUSCH format1,NPUSCH format2,NPRACH,PUCCH,,option 3: NPRACH,The performance requirements for Narrowband IoT include requirements for NPRACH.,Standards specifications,674,3,Table 7.8.1-3c: Narrowband intermodulation performance requirement for Wide Area BS for NB-IoT standalone
question 681,In which operation does the UDM update session management subscriber data stored in the SMF? [3GPP Release 18],Nudm_SDM_Notification service operation,Nudr_DM_Unsubscribe for the data,"Nudm_UECM_Deregistration request (SUPI, NF ID, Access Type) operation","Nudr_DM_Update (SUPI, Subscription Data)",,option 1: Nudm_SDM_Notification service operation,The UDM updates session management subscriber data stored in the SMF by invoking the Nudm_SDM_Notification service operation.,Standards specifications,681,1,"The Nudm_SDM_Notification service operation specified in clause 5.2.3.3 is used by the UDM to update session management subscriber data stored in the SMF.

The SMF initiates appropriate action according to the changed subscriber data, e.g. including:

initiating an SMF initiated PDU Session Modification procedure; or

initiating an SMF initiated PDU Session Release procedure.

4.5.3	Purge of subscriber data in AMF

An AMF may, as an implementation option, purge the subscriber data and MM context of a UE after the implicit or explicit Deregistration of the UE. In this case, the AMF shall unsubscribe and deregister from the UDM, where UDM may further do corresponding operation from UDR, by the means of following ""Purge of subscriber data in AMF"" procedure.

Figure 4.5.3-1: Purge of Subscriber Data in AMF"
question 688,What does QCI-1 represent in LTE? [3GPP Release 14],Best effort,Real-time interactive,Streaming,Background,Signaling,option 2: Real-time interactive,QCI-1 in LTE represents real-time interactive traffic.,Standards overview,688,2,"For V2X communication over LTE-Uu interface, the V2X messages can be delivered via Non-GBR bearer (i.e. an IP transmission path with no reserved bitrate resources) as well as GBR bearer (i.e. an IP transmission path with reserved (guaranteed) bitrate resources). In order to meet the latency requirement for V2X message delivery, the following standardized QCI (QoS Class Identifier) values defined in TS 23.203 [3] can be used:

QCI 3 (GBR bearer) and QCI 79 (Non-GBR bearer) can be used for the unicast delivery of V2X messages.

3GPP

Release 14	24	3GPP TR 21.914 V14.0.0 (2018-05)

QCI 75 (GBR bearer) is only used for the delivery of V2X messages over MBMS bearers.

Security aspects

The Work Item on ""Security aspect of LTE support of V2X services (V2XLTE-Sec)"", driven by SA WG3, specifies the security aspects for LTE based V2X communication in TS 33.185 [4], including security architecture, security requirements, as well as procedures and solutions to meet those requirements."
question 702,Which physical channel informs the UE and the RN about the number of OFDM symbols used for the PDCCHs? [3GPP Release 17],PBCH,PCFICH,PDSCH,PHICH,,option 2: PCFICH,The physical control format indicator channel (PCFICH) informs the UE and the RN about the number of OFDM symbols used for the PDCCHs.,Standards specifications,702,2,"-- R1 23-2-1b    PDCCH repetition with PDCCH monitoring on any span of up to 3 consecutive OFDM symbols of a slot

    mTRP-PDCCH-anySpan-3Symbols-r17             ENUMERATED {supported}                                         OPTIONAL,

    -- R1 23-2-2    Two QCL TypeD for CORESET monitoring in PDCCH repetition

    mTRP-PDCCH-TwoQCL-TypeD-r17                 ENUMERATED {supported}                                         OPTIONAL,

    -- R1 23-3-1-2b    CSI-RS processing framework for SRS with two associated CSI-RS resources

    mTRP-PUSCH-CSI-RS-r17                       SEQUENCE {

        maxNumPeriodicSRS-r17                       INTEGER (1..8),

        maxNumAperiodicSRS-r17                      INTEGER (1..8),

        maxNumSP-SRS-r17                            INTEGER (0..8),

        numSRS-ResourcePerCC-r17                    INTEGER (1..16),

        numSRS-ResourceNonCodebook-r17              INTEGER (1..2)"
question 710,Which specification specifies the Support of NR MBS in non-split gNB case? [3GPP Release 17],TS 23.501,TS 36.300,TS 38.300,TS 38.305,TS 38.400,option 3: TS 38.300,The Support of NR MBS in non-split gNB case is specified in TS 38.300.,Standards specifications,710,3,"7.7	Support for NR MBS

The Support of NR MBS in non-split gNB case is specified in TS 38.300 [2].



7.7.1	Support of dynamic PTP and PTM switching

For UEs in RRC_CONNECTED, NG-RAN supports dynamic switch between PTP and PTM for MBS as specified in TS 38.300 [2].

In case of split gNB architecture, for a MRB with common PDCP involving both PTP (RLC leg) and PTM (RLC leg), upon receiving the MBS data from the gNB-CU via a shared F1-U tunnel, the gNB-DU makes decision of using PTP (RLC leg) or PTM (RLC leg) or both.

For UEs in RRC_INACTIVE only PTM is supported as specified in TS 38.300 [2].

7.7.2	Support of resource efficiency for RAN Sharing 

7.7.2.1	General

Resource efficiency for RAN sharing is supported in both MOCN scenario and Multiple Cell-ID Broadcast scenario.

7.7.2.2	Support of resource efficiency for MOCN"
question 715,What type of reports are used to support QoS-aware packet scheduling in the uplink? [3GPP Release 17],Delay reports,Power headroom reports,Transmission reports,Uplink buffer status reports,,option 4: Uplink buffer status reports,Uplink buffer status reports are used to provide support for QoS-aware packet scheduling in the uplink.,Standards specifications,715,4,"Uplink buffer status reports (measuring the data that is buffered in the logical channel queues in the UE) are used to provide support for QoS-aware packet scheduling;

Power headroom reports (measuring the difference between the nominal UE maximum transmit power and the estimated power for uplink transmission) are used to provide support for power aware packet scheduling.

10.2	Downlink Scheduling

In the downlink, the gNB can dynamically allocate resources to UEs via the C-RNTI on PDCCH(s). A UE always monitors the PDCCH(s) in order to find possible assignments when its downlink reception is enabled (activity governed by DRX and cell DTX when configured). When CA is configured, the same C-RNTI applies to all serving cells."
question 716,What is the purpose of the ePWS feature? [3GPP Release 16],To enhance the Public Warning System by improving the comprehension of Warning Notifications for users with disabilities and non-fluent users,To define behaviours for UEs with no user interface,To specify additional requirements for PWS-UEs,To enable language-independent content in Warning Notifications,To specify how graphical symbols or images can be used in Warning Notifications,option 1: To enhance the Public Warning System by improving the comprehension of Warning Notifications for users with disabilities and non-fluent users,The ePWS feature enhances the Public Warning System by defining behaviours for UEs with no user interface or with a user interface that is incapable of displaying text-based Warning Notifications and providing how to improve the comprehension of a Warning Notification to users with disabilities who have UEs supporting assistive technologies beyond text assistive technologies and users who are not fluent in the language of the Warning Notifications.,Standards overview,716,1,"9	Enhancements of Public Warning System (ePWS)	16

9.1	Service description	16

9.2	General Requirements	16

9.2.1	ePWS Requirements	16

9.2.2	Battery Life of ePWS-UE	17

9.2.3	Enabling and disabling of Warning Notifications	17

9.3	Requirements for 3GPP system supporting ePWS-UEs	17

9.4	Requirements for ePWS-UE incapable of displaying text based Warning Notification	17

9.4.1	Requirements for ePWS-UE with no user interface	17

9.4.2	Requirements for ePWS-UE with a user interface incapable of displaying text based Warning Notification	18

9.5	Requirements for the improvement of understanding the Warning Notification	18

10	Relay of Warning Notification	18

10.1	Service description	18

10.2	Requirements for the relay functionality	18

Foreword

This Technical Specification has been produced by the 3rd Generation Partnership Project (3GPP)."
question 717,What happens when the Control Plane data back-off timer is running? [3GPP Release 18],The UE cannot initiate any data transfer via Control Plane CIoT 5GS Optimization,The AMF stops processing any further requests (except for exception reporting and paging response) for data transport via Control Plane Service Request from that UE,The UE is allowed to initiate Service Request procedures for activating User Plane connection,The UE is allowed to initiate Session Management procedures for emergency services,,option 1: The UE cannot initiate any data transfer via Control Plane CIoT 5GS Optimization,"When the Control Plane data back-off timer is running, the UE cannot initiate any data transfer via Control Plane CIoT 5GS Optimization, and the AMF stops processing any further requests (except for exception reporting and paging response) for data transport via Control Plane Service Request from that UE.",Standards specifications,717,1,"Based on the stored control plane data back-off time for the UE, the network may reject the transfer of user data via the control plane initiated by the UE.

While the timer T3448 is running, the UE in EMM-IDLE mode shall not initiate the transport of user data via the control plane procedure (see clause 6.6.4), except if the UE is allowed to use exception data reporting (see the ExceptionDataReportingAllowed leaf of the NAS configuration MO in 3GPP TS 24.368 [15A] or the USIM file EFNASCONFIG in 3GPP TS 31.102 [17]) and the user data is related to an exceptional event.

Upon entering the state EMM-DEREGISTERED or a new PLMN which is not equivalent to the PLMN where the UE started the timer T3448, or upon being switched off while the timer T3448 is running, the UE shall stop the timer T3448. For further criteria to stop of timer T3448, refer to clause 5.5.3.2.4 and clause 5.6.1.4.2.

5.3.10	Access class control"
question 721,What is the main role of the DeNB in the mobility of a UE to or from an RN? [3GPP Release 17],To trigger the S1 or X2 handover procedure for the UE,To provide GUMMEI information to the RN,To update the cell information of the RN,To transfer neighbouring information to the RN,To initiate the RRC connection establishment for the UE,option 1: To trigger the S1 or X2 handover procedure for the UE,The DeNB triggers the S1 or X2 handover procedure for the UE moving to or from an RN.,Standards specifications,721,1,"RNs terminate S1-AP. In this case, there is one S1 interface relation between the RN and the DeNB, and one S1 interface relation between the DeNB and each of the MMEs in the MME pool. The S1 interface relation between the RN and the DeNB carries non-UE-associated S1-AP signalling between RN and DeNB and UE-associated S1-AP signalling for UEs connected to the RN. The S1 interface relation between the DeNB and an MME carries non-UE-associated S1-AP signalling between DeNB and MME and UE-associated S1-AP signalling for UEs connected to the RN and for UEs connected to the DeNB.

19.2.1	S1 Interface Functions

19.2.1.0	General

The S1 interface provides the following functions:

E-RAB Service Management function:

Setup, Modify, Release.

Mobility Functions for UEs in ECM-CONNECTED:

Intra-LTE Handover;

Inter-3GPP-RAT Handover.

S1 Paging function:

NAS Signalling Transport function;

LPPa Signalling Transport function;

S1-interface management functions:

Error indication;

Reset.

Network Sharing Function;"
question 731,Which reference point is between SMF and the CHF in the same PLMN? [3GPP Release 18],N28,N40,N41,N42,N44,option 2: N40,The N40 reference point is between SMF and the CHF in the same PLMN.,Standards specifications,731,2,"N46:	Reference point between SMSF and CHF defined in clause 4.4 of TS 32.274 [34].

N47: 	Reference point between SMF and the CHF in different PLMNs defined in clause 4.2 of TS 32.255 [15].

N48: 	Reference point between 5G DDNMF and the CHF in different PLMNs defined in clause 4.4 of TS 32.277 [37].

N49: 	Reference point between EES and CHF defined in clause 4.2.3 of TS 32.257 [17].

N100:	Reference point between MMS node and CHF defined in clause 4.4 of TS 32.270 [30].

N101:	Reference point between MB-SMF and the CHF in the same PLMN defined in clause 4.2 of TS 32.255 [15].

N107:	Reference point between two CHFs defined in clause 4.2 of TS 32.255 [15] and clause 4.2.2 of TS 32.256 [16]

4.5	Architecture mapping

4.5.0	General

The following sub-clauses describe how the logical ubiquitous charging architecture can be mapped onto physical components and interfaces within the scope of 3GPP standards.

4.5.1	Offline mapping"
question 754,What is the purpose of the Nnef_MSISDN-less_MO_SMS service? [3GPP Release 18],To send the MSISDN-less MO SMS to the AF.,To request the network to send an Application trigger to the UE.,To resolve the GPSI to SUPI when the AF is authorized to trigger the UE.,To retrieve the UE SMSF identities.,"To create, update, or delete the group-level N4 session for a 5G VN group.",option 1: To send the MSISDN-less MO SMS to the AF.,The purpose of the Nnef_MSISDN-less_MO_SMS service is to send the MSISDN-less MO SMS to the AF.,Standards specifications,754,1,"NOTE:	The coding and the use of the RP-ERROR message is specified in 3GPP TS 24.011 [8].

5.2.4	MSISDN-less MO SMS message transfer

The procedure for SBI-based MSISDN-less MO SMS message transfer is depicted in Figure 5.2.4-1,

 Figure 5.2.4-1: Procedures for MSISDN-less MO SMS message transfer

0	NEF registers Nnef_SMService_MoForwardSm service and supporting long/short code ranges in NRF, during the NF registration procedure.

1	MO SMS transmit from UE to SMS-SC, as already defined in clause 5.2.2.

2a-2b	SMS-SC provides destination SME address (long/short code of the AF) to NRF for NEF selection, and chooses Nnef_SMService_MoForwardSm service for MSISDN-less MO SMS submit.

3	SMS-SC forwards MO SM to NEF, by invoking Nnef_SMService_MoForwardSm service.

4-5	Nudm_SDM_Get and response between NEF and UDM, which refers to Step 3-Step 4 of Figure 4.13.7.2-1 in TS 23.502 [4].

6	The NEF provides a Nnef_MSISDN-less_MO_SMS Notify, which refers to Step 5 of Figure 4.13.7.2-1 in TS 23.502 [4]."
question 761,"In a split gNB architecture, how is RACH configuration conflict resolved? [3GPP Release 17]",The gNB-CU reassigns a new PCI for NR cells suffering PCI conflict.,The gNB-DU reports RACH configuration conflict to the gNB-CU.,The gNB-DU signals the PRACH configuration per-cell to the gNB-CU.,The gNB-CU merges the outgoing RIM information received from its gNB-DUs.,The gNB-CU forwards neighbor cell's PRACH configurations to the gNB-DU.,option 5: The gNB-CU forwards neighbor cell's PRACH configurations to the gNB-DU.,"In a split gNB architecture, RACH configuration conflict is resolved by the gNB-CU forwarding neighbor cell's PRACH configurations to the gNB-DU.",Standards specifications,761,5,11.7.2	NR inter band Carrier Aggregation
question 763,Which positioning techniques are supported in the NR positioning work item? [3GPP Release 16],"DL TDOA, DL AoD, MLAT, NR E-CID","UL TDOA, UL AoA (Azimuth and Zenith), OTDOA, GNSS SSR","DL TDOA, DL AoD, UL TDOA, UL AoA (Azimuth and Zenith), Multi-RTT, NR E-CID","UL TDOA, UL AoA (Azimuth and Zenith), GNSS SSR, PPP-RTK","DL TDOA, DL AoD, Multi-RTT, NR E-CID, GNSS SSR","option 3: DL TDOA, DL AoD, UL TDOA, UL AoA (Azimuth and Zenith), Multi-RTT, NR E-CID","The NR positioning work item supports DL TDOA, DL AoD, UL TDOA, UL AoA (Azimuth and Zenith), Multi-RTT, and NR E-CID positioning techniques.",Standards overview,763,3,"In the presented work item [1] 3GPP defined framework for NR based positioning of UEs, including definition of new reference signals, physical layer measurements, procedures and higher layer protocols for support of NR RAT-dependent and RAT-independent positioning technologies. This completed normative work [2] is a continuation of the 3GPP Rel.16 study item on NR Positioning Support [3]. The main motivation behind this work is to support accurate UE positioning in NR technology by utilizing RAT-dependent and RAT-independent solutions."
question 767,What is the observed range of BS energy savings when the traffic is reduced for BWP adaptation within a carrier? [3GPP Release 18],17.4%~52.2%,28.4%~14.47%,6.44%~39.4%,negative %,,option 1: 17.4%~52.2%,The observed range of BS energy savings when the traffic is reduced for BWP adaptation within a carrier is 17.4%~52.2%.,Standards specifications,767,1,"Table 6.2.2.2-1: BS energy savings by BWP adaptation within carrier

Company BS Category Load scenario ES gain (%) KPI (%: loss w.r.t. baseline) Reference configuration Baseline configuration/assumption Samsung [21] Cat 1 Baseline traffic: 42.8 % RU
Reduced traffic: 28.47 % RU 38.2% UPT: 6.05%; Packet latency: 6.44%; Scheduling latency: No increase Set1 Baseline: full 100MHz with 55 dBm NES mode: 80 MHz with 54 dBm Cat 2 27.8% Cat 1 Baseline traffic: 7.5 % RU
Reduced traffic: 2.75 % RU 52.2% UPT: 14.67%; Packet latency: 17.2%; Scheduling latency: No increase Cat 2 17.6% Cat 1 Baseline traffic: 32.1 %
Reduced traffic: 25.7 % 17.4% UPT: 28.24%; Packet latency: 39.4%; Scheduling latency: No increase Set3 Baseline: full 100MHz with 49 dBm NES mode: 80 MHz with 48 dBm Cat 2 17.8%

One source observed BS energy savings by 17.4%~52.2% at the expense of UPT loss by 28.4%~14.47%, and packet latency increases by 6.44%~39.4% when traffic is reduced compared to corresponding baseline. BWP switching delay is not modelled."
question 773,What should the UE do when checking access Class or ACDC category related cell access restrictions during RRC connection establishment for E-UTRA connected to EPC? [3GPP Release 17],Ignore the access restrictions,Reject the cell for camping on,Trigger cell reselection,Check the access restrictions and proceed accordingly,None of the above,option 4: Check the access restrictions and proceed accordingly,The UE should check the access Class or ACDC category related cell access restrictions and proceed accordingly.,Standards specifications,773,4,"For UE camping on E-UTRA connected to EPC, access Class or ACDC category related cell access restrictions shall be checked by the UE when starting RRC connection establishment procedure as specified in TS 36.331 [3]. For UE camping on E-UTRA connected to 5GC, Access Category and Identity related cell access restrictions shall be checked by the UE for NAS initiated access attempts and RNAU as specified in TS 36.331 [3].

5.3.3	Emergency call

A restriction on emergency calls, if needed, is indicated by the field ac-BarringForEmergency TS 36.331 [3]. If access class 10 is indicated as barred in a cell, UEs with access class 0 to 9 or without an IMSI are not allowed to initiate"
question 797,What does MINT stand for? [3GPP Release 17],Maximum Internet Network Transmission,Minimization of Interruption Network Technology,Maximization of Internet Network Traffic,Minimization of Service Interruption,Maximum Internet Network Technology,option 4: Minimization of Service Interruption,MINT stands for Minimization of Service Interruption.,Standards overview,797,4,"3GPP

3GPP TR 21.917 V17.0.1 (2023-01)
Release 17

Annex A:
Change history"
question 799,What are the two main types of multimedia services? [3GPP Release 18],Interactive and distribution services,Conversational and messaging services,Retrieval and distribution services,Broadcast and retrieval services,,option 1: Interactive and distribution services,Multimedia services are typically classified as interactive or distribution services.,Standards specifications,799,1,"The applicability of 5QI and potential gaps for XR Services over 5G are analysed further in this Technical Report.

4.3.4	5G Media Delivery

In the context of this Technical Report and the delivery options identified in clause 4.3.3.1, the first three basic delivery types – download, passive streaming and interactive streaming – are most suitably mapped to 5G Media Streaming as defined in 3GPP TS 26.501 [8] and associated stage 3 specifications. The applicability of 5G Media Streaming for XR applications and potential necessary extensions are identified in clauses 5, 6 and 7 of this Technical Report."
question 812,How many demodulation branches are the radiated performance requirements limited to for SAN type 1-O? [3GPP Release 18],Up to 2 demodulation branches,Up to 4 demodulation branches,Up to 1 demodulation branch,Up to 3 demodulation branches,,option 1: Up to 2 demodulation branches,The radiated performance requirements for SAN type 1-O are limited to two OTA demodulation branches as described in clause 11.1.2.,Standards specifications,812,1,"The radiated performance requirements for SAN type 1-O are limited to two OTA demodulation branches as described in clause 11.1.2. Conformance requirements can only be tested for 1 or 2 demodulation branches depending on the number of polarizations supported by the SAN, with the required SNR applied separately per polarization.

Unless stated otherwise, radiated performance requirements apply for a single carrier only. Radiated performance requirements for a SAN supporting carrier aggregation are defined in terms of single carrier requirements.

For SAN type 1-O in FDD operation the requirements in clause 8 shall be met with the transmitter units associated with the RIB in the operating band turned ON.

NOTE 1:	SAN type 1-O in normal operating conditions in FDD operation is configured to transmit and receive at the same time. The transmitter unit(s) associated with the RIB may be OFF for some of the tests."
question 813,When is DCP configured on the PCell? [3GPP Release 17],When DRX is not configured,When BA is not configured,When CA is not configured,When BA and CA are not configured,When CA is configured,option 5: When CA is configured,DCP is configured on the PCell when CA is configured.,Standards specifications,813,5,"PCell	Primary Cell

PDCP	Packet Data Convergence Protocol

PDU	Protocol Data Unit

PEI	Paging Early Indication

PEI-O	Paging Early Indication-Occasion

PLMN	Public Land Mobile Network

PNI-NPN	Public Network Integrated Non-Public Network

posSIB	Positioning SIB

PPW	PRS Processing Window

PRS	Positioning Reference Signal

PSCell	Primary SCG Cell

PSI	PDU Set Importance

PTM	Point to Multipoint

PTP	Point to Point

PWS	Public Warning System

QoE	Quality of Experience

QoS	Quality of Service

RAN	Radio Access Network

RAT	Radio Access Technology

RLC	Radio Link Control

RLM	Radio Link Monitoring

RMTC	RSSI Measurement Timing Configuration

RNA	RAN-based Notification Area

RNTI	Radio Network Temporary Identifier

ROHC	Robust Header Compression

RPLMN	Registered Public Land Mobile Network

RRC	Radio Resource Control

RS	Reference Signal

SBAS	Satellite Based Augmentation System

SCell	Secondary Cell

SCG	Secondary Cell Group

SCS	Subcarrier Spacing

SD-RSRP	Sidelink Discovery RSRP

SDT	Small Data Transmission"
